"";"column_label";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"337";"7";"LukaNizeticOfficial";"Music";227000;95;2,41e+08;2021-05-19;"http://www.youtube.com/channel/UCsdHG80Q95c-KIP81xlzplA"
"338";"7";"Slavko";"Travel & Events";226000;44;1,99e+08;2021-02-09;"http://www.youtube.com/channel/UCpUBzh1fE1G39skpUTzDF2Q"
"339";"7";"BAUHAUS Hrvatska";"Howto & Style";226000;197;4,88e+08;2021-05-10;"http://www.youtube.com/channel/UCGYsN51SH-hbqKM2-L0MesA"
"340";"7";"Bila mama Kukunka, bio tata Taranta .official";"Entertainment";226000;139;9,91e+08;2021-03-10;"http://www.youtube.com/channel/UCjOhC2NUSbZ4hVn-J03Gwzw"
"341";"8";"Galactico97";"Entertainment";223000;201;9,51e+08;2021-05-11;"http://www.youtube.com/channel/UC-UH31DUlvehVqc_-jmD6Iw"
"342";"8";"Black Raven";"Gaming";223000;537;3,11e+08;2021-05-10;"http://www.youtube.com/channel/UCm9f6vg5aQ0IsiIWtpZ3Lyw"
"343";"8";"CRVENA JABUKA- CROREC OFFICIAL";"Entertainment";223000;265;3,33e+08;2021-04-28;"http://www.youtube.com/channel/UCi-wA5tOhq291rOwbEoTIEw"
"344";"8";"Retfatlanta Records";"Music";222000;52;1,91e+08;2021-04-09;"http://www.youtube.com/channel/UCLuEx7utejv90oguLjHSzJA"
"345";"8";"tWeOP";"Gaming";221000;84;1,21e+08;2021-04-30;"http://www.youtube.com/channel/UC-C7lTurGruCIq_RFtD9UAw"
"346";"8";"Itz Razor";"Gaming";220000;11;140000;2021-03-22;"http://www.youtube.com/channel/UC2nb7x9pLvWQTiU4HG1yXUw"
"347";"8";"Me Det Zin II";"Music";220000;19;4,27e+08;2020-08-30;"http://www.youtube.com/channel/UCPCdAxwrjSAlkJGwPvKAuBw"
"348";"8";"Rega";"People & Blogs";218000;102;1,33e+08;2021-04-23;"http://www.youtube.com/channel/UCt0qTDRm3XTyzcWSO6qo_bQ"
"349";"8";"hylianensemble";"Music";218000;69;7,93e+08;2020-07-11;"http://www.youtube.com/channel/UCatJYJDYSe0ha20vZJQJ4pQ"
"350";"8";"Cedevita Brands";"Entertainment";215000;252;4,22e+08;2021-04-16;"http://www.youtube.com/channel/UCeyssp0YYvS09L2woYGo-Bg"
"351";"8";"KostMalen";"";215000;0;0;0001-11-30;"http://www.youtube.com/channel/UCnnjB35KRzpFyMOToHsjWKg"
"352";"8";"Inmo Num";"Gaming";214000;378;1,7e+08;2021-02-21;"http://www.youtube.com/channel/UCStNsdc03Up5zTWpdq4zEbw"
"353";"8";"Vjeran";"Gaming";214000;337;1,84e+08;2021-05-07;"http://www.youtube.com/channel/UC4JG42TbweU91qMMry1jwxw"
"354";"8";"Jan Ivanjek";"Science & Technology";214000;123;6,24e+08;2021-04-30;"http://www.youtube.com/channel/UCFh68ltYENjZiyk3soggkDQ"
"355";"8";"Antonio Šimiæ";"Film and Animation";213000;29;798000;2021-04-05;"http://www.youtube.com/channel/UCsvQ4Ur3Wy2O5cQAIWVeSeg"
"356";"8";"Ivan Tokiæ";"Comedy";212000;91;525000;2021-05-09;"http://www.youtube.com/channel/UCg6hbvNzJwlVzBNUDlTu9fA"
"357";"8";"Miletiæ Marin";"People & Blogs";211000;302;3,24e+08;2021-05-12;"http://www.youtube.com/channel/UC3pytUSwwvUuiksKZ-EzfQQ"
"358";"8";"Iá´ á´<U+0080>É´á´<U+0080> Ká´<U+008F>á´ á´<U+0080>Ä<U+008D> OO<U+0093>O<U+0093>Éaá´<U+0084>Éaá´<U+0080>E<U+009F>";"Music";209000;82;2,4e+08;2020-07-29;"http://www.youtube.com/channel/UCqaRnqvDF3EjiT3vS7-Itkg"
"359";"8";"Inder45";"Gaming";209000;304;2,1e+08;2021-04-27;"http://www.youtube.com/channel/UC-Efgb9tW9rwzOa1dGR5yeQ"
