"";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"1058";"MarcoPoloCroatiaTV";"Music";1200;567;655000;"2021-02-09";"http://www.youtube.com/channel/UCQLqlirkQ2hNJL_iggpjBlA"
"1059";"OBJECTIVE FUN";"Film and Animation";1180;252;315000;"2021-05-22";"http://www.youtube.com/channel/UClN1hD6Et4eqJgQktZ-PBrA"
"1060";"Cine Artisan";"Education";1180;86;2860000;"2017-01-14";"http://www.youtube.com/channel/UCw7vqcjB2WWHbbAtdbkWkyw"
"1061";"Cvita";"Gaming";1180;0;0;"2020-11-20";"http://www.youtube.com/channel/UC32Q_xwMIIHO6OJVJRgD6BQ"
"1062";"Dubrovaèki dnevnik";"News & Politics";1180;1677;2590000;"2021-05-21";"http://www.youtube.com/channel/UCtHM_YHJMUqHxbgOjEXOvzA"
"1063";"DJ BONZI";"Gaming";1180;43;101000;"2021-03-09";"http://www.youtube.com/channel/UCAkiBLOPqPkY5VoYDJzuM3w"
"1064";"Kristian Marolt";"Music";1170;54;249000;"2021-04-28";"http://www.youtube.com/channel/UCBsKQc03HvDgx8mSApC-Q2A"
"1065";"Roby Koenigs";"Music";1160;39;21400;"2020-08-28";"http://www.youtube.com/channel/UCj2WwIXtDV_tI3YrTEcZD0w"
"1066";"XEN";"Gaming";1160;11;73000;"2020-06-25";"http://www.youtube.com/channel/UChVZGJJjRoa8ypvPhZTvYNw"
"1067";"Siky";"Entertainment";1160;44;10400;"2020-12-08";"http://www.youtube.com/channel/UCPgdjaViA4NLsLtqqZH8EBg"
"1068";"Wedi'i Ddewis";"Film and Animation";1150;15;22600;"2021-04-18";"http://www.youtube.com/channel/UCcDrpKGNEJvgBxguPXh4Bxg"
"1069";"bransilja1";"Music";1150;55;839000;"2019-04-20";"http://www.youtube.com/channel/UCcmInWHU-QDRwIR8LB56BBA"
"1070";"Fox Lehkec";"Sports";1140;170;1020000;"2021-06-12";"http://www.youtube.com/channel/UCy03z5LCcWgsZ5Qs9Ds2fNw"
"1071";"GachaGirl_ Sara";"People & Blogs";1130;131;275000;"2021-05-04";"http://www.youtube.com/channel/UCcdVR-oQWaLnu7IuK1R-HgQ"
"1072";"Lipxo Music";"Music";1130;81;41800;"2021-02-20";"http://www.youtube.com/channel/UCyaOeVTQzjkkF2yywRNbusg"
"1073";"Moreplovac";"Gaming";1130;2;11000;"2020-12-25";"http://www.youtube.com/channel/UCWtyjmccbI2QPR3rJUPEvMQ"
"1074";"Iris";"Gaming";1110;0;0;"2021-02-21";"http://www.youtube.com/channel/UCtWXxWKTWaQJbJYxiU1ClCw"
"1075";"Reinkarnacija";"Music";1110;53;290000;"2021-05-19";"http://www.youtube.com/channel/UCJv7jV7JSEaVr2qZREc4n3Q"
"1076";"Ivana Beauty Artist";"Howto & Style";1100;79;59900;"2021-04-15";"http://www.youtube.com/channel/UCxcpuWf7eVPXVq6ynKzLzcw"
"1077";"f.m.g video";"Gaming";1100;18;120000;"2020-04-07";"http://www.youtube.com/channel/UCRK9odd2mWlQN6scT2ICb-A"
"1078";"Luxiify";"Gaming";1090;151;54600;"2020-11-06";"http://www.youtube.com/channel/UC1qVZUR-QFcfKpnjZK4_JgA"
"1079";"DIANO MAYA";"Travel & Events";1070;93;589000;"2020-09-23";"http://www.youtube.com/channel/UC5uuB82XuqPkh9EoF4UGQXQ"
"1080";"zagi988zap";"Autos & Vehicles";1060;306;956000;"2020-10-12";"http://www.youtube.com/channel/UCkg6kP2Mt-cWkRTWYBQVmVg"
"1081";"RPASD Hrvatska";"Music";1050;233;240000;"2021-05-12";"http://www.youtube.com/channel/UCW9XvqFIpoqlRWx1slG07BQ"
"1082";"KoupEz";"Entertainment";1050;57;32400;"2021-01-10";"http://www.youtube.com/channel/UCEksS4Ry9pn_YjNrQ_1BQnw"
"1083";"sm 01 custom";"Science & Technology";1050;25;279000;"2017-03-19";"http://www.youtube.com/channel/UCSn6IWWEjlojm9NV-P1iojQ"
"1084";"Diadora TV";"News & Politics";1040;627;260000;"2021-05-13";"http://www.youtube.com/channel/UC00qkEnIk_qsfrtllijKwpQ"
"1085";"Tomosaki";"Autos & Vehicles";1040;64;440000;"2021-05-11";"http://www.youtube.com/channel/UCcqD1nX_M8iR6D9j0_WJ8Xg"
"1086";"Vale Building";"News & Politics";1040;192;61400;"2021-04-13";"http://www.youtube.com/channel/UCj7U7jFzp0FuqfjFrZbQFpg"
"1087";"Krunoslav Grgic";"Entertainment";1040;370;6050000;"2021-01-23";"http://www.youtube.com/channel/UC7sWE2nKyhTirLhLLw2ZusQ"
"1088";"Delmatico Skythian Huncvut";"Music";1040;122;813000;"2018-08-12";"http://www.youtube.com/channel/UCGhaPJblipgYNjgOC66liig"
"1089";"Zdravko Broz";"Music";1020;21;585000;"2019-09-08";"http://www.youtube.com/channel/UCd9mqxNSappczrYUAlD-wRw"
"1090";"NixyGamesTV";"People & Blogs";1020;337;110000;"2020-02-22";"http://www.youtube.com/channel/UCwmparZOpVA1FiEsME7sawQ"
"1091";"Prva školska televizija";"Nonprofits & Activism";1010;851;502000;"2021-05-20";"http://www.youtube.com/channel/UCWy0Xb_WliZi7Q6xNfvtq4g"
"1092";"MrBarba";"Entertainment";1010;29;121000;"2018-09-24";"http://www.youtube.com/channel/UCYP4mYAb5gxUM82iR4fO8Fw"
"1093";"Kadafi";"Entertainment";1000;2;359000;"2020-03-15";"http://www.youtube.com/channel/UCw1zhZ7gkqGvzu8OA9epLPg"
"1094";"Luka 444";"Gaming";1000;228;12500;"2021-05-06";"http://www.youtube.com/channel/UC8sHnCqr2pOCBxn6204fBJQ"
"1095";"Borderline | Music | Cinema";"Education";993;145;604000;"2021-02-23";"http://www.youtube.com/channel/UCoOUeyS4qM9lZpONJq-tbDw"
"1096";"Response166";"Pets & Animals";992;20;1460000;"2021-05-02";"http://www.youtube.com/channel/UCdzlEle4L_eYyK4mz9dU7FQ"
"1097";"LIGHT WALKERS";"Music";988;38;222000;"2021-05-14";"http://www.youtube.com/channel/UCVTWXSXXES7GN2LUm4YLtPA"
"1098";"Indir";"Sports";974;37;238000;"2020-12-07";"http://www.youtube.com/channel/UCtdgQ30rXd_qoVo0bC2eaIw"
"1099";"KFP";"Gaming";973;318;131000;"2021-03-02";"http://www.youtube.com/channel/UCVHw2p5KffhtT-7Scq1aYOw"
"1100";"Hrvatski sabor kulture";"Entertainment";960;1551;626000;"2021-01-23";"http://www.youtube.com/channel/UCZNTB44HyXQf7vUGrK3t9gg"
"1101";"KOALAA";"Film and Animation";954;31;14100;"2021-04-27";"http://www.youtube.com/channel/UCxWyUwtwsKssGsBQb2z_kuw"
"1102";"mario206rc";"Autos & Vehicles";943;109;4340000;"2021-04-27";"http://www.youtube.com/channel/UC1YxQv5otVZ8zJOdN8BxI4g"
"1103";"IS Ino";"Gaming";938;132;14800;"2021-03-27";"http://www.youtube.com/channel/UC5JF4SrMSpLSKPqXrWlasBw"
"1104";"BlueRunner";"Gaming";930;75;542000;"2021-04-05";"http://www.youtube.com/channel/UC8aMMRV4eLtwqYScpGulhKQ"
"1105";"RomanceJones";"Gaming";918;606;215000;"2021-05-19";"http://www.youtube.com/channel/UCn3ZqJM0zBP5Gx9c7Mq5fXA"
"1106";"Milan Šimundža";"Science & Technology";914;10;130000;"2021-03-30";"http://www.youtube.com/channel/UCyk9CeHW6LyAysaXSbrfCNg"
"1107";"Najo";"Entertainment";905;2;78100;"2021-02-01";"http://www.youtube.com/channel/UCAYltEEeyvWnaMluxtYp4rQ"
"1108";"Bayer Croatia Consumer Health";"People & Blogs";903;25;10700000;"2021-03-15";"http://www.youtube.com/channel/UCQrBQPXLHmnnlTnPGCUiTYw"
"1109";"Tonca";"Entertainment";899;178;943000;"2021-05-10";"http://www.youtube.com/channel/UC7nS6ceOxk7mDPlJXPvpC8Q"
"1110";"Bruno Beats";"Music";898;264;245000;"2021-05-07";"http://www.youtube.com/channel/UCDd-S9ZZGVnhGm3niP4wduQ"
"1111";"Nautes KG";"Education";895;543;449000;"2021-05-04";"http://www.youtube.com/channel/UCtluuKae9Uz_iNfEMe_GN2A"
"1112";"DEX Good Vibes";"Gaming";888;28;189000;"2021-05-02";"http://www.youtube.com/channel/UCxxF0bdSNXoFyHLs4loCIQQ"
"1113";"Ultimate Tomek HD";"Film and Animation";868;1217;378000;"2021-05-12";"http://www.youtube.com/channel/UCoi8ZPCwysW6bdFcOYt31oQ"
"1114";"Denis Tuksar";"Music";862;57;334000;"2021-03-07";"http://www.youtube.com/channel/UCvkpfypGiAYw0Axk7QaJ_QQ"
"1115";"eistra .info";"Science & Technology";848;443;668000;"2021-01-14";"http://www.youtube.com/channel/UCccmxRMFDSsMgpyI0PoVjxA"
"1116";"Chemic Ninjas";"Gaming";848;20;314000;"2020-11-19";"http://www.youtube.com/channel/UC5VPtwnH3AheztDbfyiKM1Q"
"1117";"Zoran Ventin";"Entertainment";847;682;1040000;"2021-03-21";"http://www.youtube.com/channel/UCswj05BvwYCt_AmrskzL83A"
"1118";"TrapXcan";"Music";847;35;23700;"2021-04-21";"http://www.youtube.com/channel/UCpzHJn3VScOwgyNfb7jWHmg"
"1119";"Lukenstein";"Film and Animation";847;29;113000;"2021-03-10";"http://www.youtube.com/channel/UCa0IsXG59t-z0YY_PCVbAVA"
"1120";"Cooking Time";"Howto & Style";845;98;101000;"2021-03-03";"http://www.youtube.com/channel/UCNsAbxlh_HiKm6MG69nYZ7A"
"1121";"Addiko Bank Hrvatska";"Howto & Style";843;75;4240000;"2021-05-07";"http://www.youtube.com/channel/UCp-q0iJlrXuB53NMF8iGfqQ"
"1122";"danny fishing life";"Film and Animation";823;200;268000;"2021-06-20";"http://www.youtube.com/channel/UCxkjt65jK7ceSU7wtlhH-cA"
"1123";"glinatube";"News & Politics";815;388;561000;"2021-05-08";"http://www.youtube.com/channel/UCM7gST-mrvJj_jc6aSvnukQ"
"1124";"GTgameplayTime";"Gaming";810;1714;101000;"2021-06-11";"http://www.youtube.com/channel/UCUL32aLjXu98LtI8EJxcSKQ"
"1125";"Ðuro Topljak";"People & Blogs";804;145;1290000;"2020-11-29";"http://www.youtube.com/channel/UCMaVgLUewmJUQtX_v9LjSvg"
"1126";"Vaib Digital";"Music";787;48;138000;"2021-04-29";"http://www.youtube.com/channel/UCfIuEfeX6c0S0mbVpnXHU-g"
"1127";"Christmas Fitness";"People & Blogs";777;43;29200;"2021-05-04";"http://www.youtube.com/channel/UCQCwwpUalSRWorDCX7giSGw"
"1128";"K Bilic Photography";"Entertainment";775;400;835000;"2020-11-28";"http://www.youtube.com/channel/UCyZQ3HD8aVcpKEqv7R6YFzg"
"1129";"Heart of Battle";"People & Blogs";766;77;170000;"2021-05-03";"http://www.youtube.com/channel/UCJZSkSNP4fZOcwMOpJqbSgw"
"1130";"TommyGamingHD";"Gaming";764;3;1240;"2017-08-26";"http://www.youtube.com/channel/UCb4ZA0ZmTCKJtMWHKckzIMA"
"1131";"Igor Drvenkar Music";"Music";760;89;420000;"2020-11-25";"http://www.youtube.com/channel/UCAYMFvzJ8BefP45Z7jROecw"
