"";"column_label";"name";"genre";"subscribers";"videos";"views";"lastvideo";"link"
"431";"22";"davorFishingvideos4You";"People & Blogs";136000;75;333000;2021-05-25;"http://www.youtube.com/channel/UCBRGFJUmdCvEdHN4oxv1MbA"
"432";"22";"petrovafire";"Film and Animation";136000;134;137000;2020-11-07;"http://www.youtube.com/channel/UCj0XCI1N4mbPblwWZ0QYO-g"
"433";"22";"DS Team";"People & Blogs";137000;73;248000;2020-12-15;"http://www.youtube.com/channel/UC2e2DAn8xHe3neOUMKbGhcA"
"434";"22";"Helena";"Music";137000;13;403000;2020-04-14;"http://www.youtube.com/channel/UCqEDf4AwM7ObeG8XtiH-0lA"
"435";"22";"Klassan";"Music";139000;47;352000;2021-03-30;"http://www.youtube.com/channel/UCda_X38ZXMcUosw-CGB7CiA"
"436";"22";"n0_rest";"Education";140000;210;1,26e+08;2020-05-07;"http://www.youtube.com/channel/UC6UHYZc9xkq0KZ4_rOXHfgw"
"437";"22";"d0mi";"Music";140000;303;241000;2020-12-26;"http://www.youtube.com/channel/UCDwc6-VR6GzcJIT6MuMkD9A"
"438";"22";"The Military Channel";"News & Politics";140000;45;256000;2021-05-20;"http://www.youtube.com/channel/UCnvARI97T8zzEbECB5qktRA"
"439";"22";"ChipTuning";"Autos & Vehicles";140000;201;1,95e+08;2021-06-17;"http://www.youtube.com/channel/UCowwyNoKULSWfUD8Y6TK60Q"
"440";"22";"Petra Dolezal";"Music";141000;4;120000;2021-05-22;"http://www.youtube.com/channel/UCZlofVA2tI7v2anH1LB0d9Q"
"441";"23";"VOLIM & KUHAM";"People & Blogs";141000;65;289000;2020-07-17;"http://www.youtube.com/channel/UCYMTLwhq8SgoafxnmW7_WQw"
"442";"23";"Spark Of Love";"Film and Animation";141000;294;801000;2020-07-05;"http://www.youtube.com/channel/UC3Oaf1Znhr7JNdwobh5taUg"
"443";"23";"Lenovo Hrvatska";"Science & Technology";141000;212;3,93e+08;2021-04-26;"http://www.youtube.com/channel/UCtSjnvDjM7Ww4iuKOAo3WnQ"
"444";"23";"Finding inspiration with Sandra";"Education";142000;63;385000;2021-04-28;"http://www.youtube.com/channel/UCnybyg5ylFnRbZ8MGz06UCQ"
"445";"23";"Life of a Board Gamer";"Gaming";143000;593;224000;2021-05-13;"http://www.youtube.com/channel/UC8faiaGSlBN-_fDSBajddMA"
"446";"23";"Damir Radnic";"News & Politics";143000;115;1,52e+08;2021-04-16;"http://www.youtube.com/channel/UCPcTDIJaaC9dcylA1HoWIug"
"447";"23";"Radohna Grmeèki";"Education";143000;74;306000;2021-05-13;"http://www.youtube.com/channel/UCwNrXEzootIdcErA1jZ80Ww"
"448";"23";"tole_yt";"Gaming";144000;226;773000;2021-04-21;"http://www.youtube.com/channel/UC00Cxq0D-SrCT1drRSXiR6g"
"449";"23";"B&B_Agriculture";"Autos & Vehicles";145000;105;234000;2021-05-08;"http://www.youtube.com/channel/UCFSKt5K1llIpKjVv3tNVf8g"
"450";"23";"Maris-Real Estate Croatia- Immobilien Kroatien";"Travel & Events";146000;359;1,11e+08;2021-03-31;"http://www.youtube.com/channel/UC9C9yQFwrMx7nRI-ADdN_3g"
"451";"23";"FoggyProductions";"Gaming";147000;1233;1,49e+08;2021-06-14;"http://www.youtube.com/channel/UC07TI_dSDIvcpaFCcK0z-3Q"
"452";"23";"Ivan";"Sports";148000;18;946000;2020-05-14;"http://www.youtube.com/channel/UCLUJwB-pj8loRCIkPq6NOeQ"
"453";"23";"Duvo";"Sports";149000;61;302000;2020-12-25;"http://www.youtube.com/channel/UCXKUJYdPtwTVZm0jlOdlFAQ"
"454";"23";"Darko Mircetic";"Music";150000;1063;1,31e+08;2021-04-07;"http://www.youtube.com/channel/UC8ckJPd6gxUzzzN2JNaVFaA"
"455";"23";"House of Flamingo";"Entertainment";150000;160;284000;2021-05-13;"http://www.youtube.com/channel/UCi1kI2s8OdPmz-vv7CD57kw"
"456";"23";"Neda Parmac";"Music";150000;53;1,8e+08;2021-02-09;"http://www.youtube.com/channel/UCZh7ZkoBX3WGn-TJlWimeAA"
"457";"23";"LA«A« Sin Only";"Gaming";151000;26;109000;2020-12-15;"http://www.youtube.com/channel/UCK90t2qFsaqcaPToUBg55bQ"
"458";"23";"Brkici";"Gaming";151000;116;317000;2021-03-21;"http://www.youtube.com/channel/UC0VUD0scES8ME6bpu_sgMFA"
"459";"23";"Dora Makeup";"People & Blogs";151000;186;108000;2020-08-17;"http://www.youtube.com/channel/UC41WIccc1SSS43pAgtgcv9A"
"460";"23";"Etno skupina Ä<U+008C>uvarice";"Music";151000;23;627000;2021-01-05;"http://www.youtube.com/channel/UCUH9s4Mbzyu8eVE_fHP-iag"
"461";"24";"CoffeeWithDario";"Gaming";152000;246;146000;2021-05-10;"http://www.youtube.com/channel/UCmaDvvSX3Zvf_YaCq8j0Xtw"
"462";"24";"Nadobudni Racing Team";"People & Blogs";153000;95;727000;2021-04-03;"http://www.youtube.com/channel/UCL8Q8CJIu4AB-fHcCjpegXg"
"463";"24";"Rodjo";"Music";156000;96;352000;2020-07-28;"http://www.youtube.com/channel/UCDW9w5ecUjJnhe-qOcOEeXQ"
"464";"24";"Antonio's Music";"Music";157000;33;202000;2021-03-29;"http://www.youtube.com/channel/UCWlQ4MYv-HB9D1oJOs6pFKQ"
"465";"24";"Forever Hrvatska";"Education";157000;162;282000;2020-12-16;"http://www.youtube.com/channel/UCPIHcVwl2Z1ZGILsiKcQBTQ"
"466";"24";"Ratchet CRO";"Gaming";158000;1738;1,07e+08;2021-06-20;"http://www.youtube.com/channel/UChBPNrxPuQwDfew_GqE9-Vg"
"467";"24";"Matija96reventon";"Music";158000;20;2,96e+08;2021-03-17;"http://www.youtube.com/channel/UCFIUnhj_eunIpam02DZjvAw"
"468";"24";"dansilja";"Music";158000;96;1,43e+08;2018-12-09;"http://www.youtube.com/channel/UCIQ2KqCH12ngZexW1nL5xXA"
"469";"24";"KK Cedevita TV";"Sports";159000;1003;837000;2021-05-11;"http://www.youtube.com/channel/UCuBut72b9Uh8CVRC91bv-lw"
"470";"24";"Blaze Blazeovsky";"People & Blogs";160000;267;134000;2021-05-13;"http://www.youtube.com/channel/UCLmtVkmP_-P0Vpng5psEkCQ"
"471";"24";"ZexMZ";"Entertainment";160000;164;688000;2021-06-19;"http://www.youtube.com/channel/UC_s7QWIScck-yP7METu-Pag"
"472";"24";"Avr'Freak";"Science & Technology";160000;55;1,05e+08;2021-06-03;"http://www.youtube.com/channel/UC02HqxWcllbRHHFoKRXJgSQ"
"473";"24";"NKVarteksVz";"Sports";161000;294;1,05e+08;2020-10-24;"http://www.youtube.com/channel/UCPAqAEOWv4aa-iE55zdsrOw"
"474";"24";"UNICEFHrvatska";"Nonprofits & Activism";161000;258;2,26e+08;2021-04-23;"http://www.youtube.com/channel/UCiD3aqF9dGiQeJT23TWpCcQ"
"475";"24";"Mladi Katolici";"Film and Animation";161000;30;501000;2020-04-03;"http://www.youtube.com/channel/UC58rqox2NnosFkT3OIdbfmw"
"476";"24";"PatrikCRO-TV";"Music";162000;45;692000;2021-04-30;"http://www.youtube.com/channel/UCD8leuztLCqoT7y7slGs8OA"
"477";"24";"Mirko Miro Ravic";"Music";162000;27;989000;2020-12-30;"http://www.youtube.com/channel/UCoK45b7w875_XcdyHNsYxfA"
"478";"24";"Marko Srepfler";"Science & Technology";162000;971;1,61e+08;2020-12-25;"http://www.youtube.com/channel/UC3iuADw8VNSmAFQmycs5-cQ"
"479";"24";"StreamingHr";"Sports";163000;100;321000;2020-08-28;"http://www.youtube.com/channel/UC59Rq4OuBhV0J5j68_E82bA"
"480";"24";"SDPHrvatske";"News & Politics";163000;1082;3,63e+08;2021-05-19;"http://www.youtube.com/channel/UCKL-tBgTyCmKpOJqxoVTRLQ"
"481";"25";"Producer Vibes";"Music";164000;418;251000;2021-05-11;"http://www.youtube.com/channel/UC9zYlYp-BdtL_BfkoYhVE7w"
"482";"25";"xILoveYouSarahx";"Pets & Animals";165000;143;323000;2020-10-25;"http://www.youtube.com/channel/UCKTztH2qsEFQFW6W2ZlhuDw"
"483";"25";"NoKI. V2";"Gaming";167000;245;165000;2020-11-16;"http://www.youtube.com/channel/UCrPtul5xiYNcfqTkR5r5jjQ"
"484";"25";"likota123";"Howto & Style";167000;90;853000;2019-01-10;"http://www.youtube.com/channel/UCKpOH0rCZt02jJHuotszbFQ"
"485";"25";"SERIALS FOR ALL GAMES & PROGRAMS";"Science & Technology";167000;18;2,01e+08;2017-01-02;"http://www.youtube.com/channel/UCDPsJsakAGiRtxj9H2r22ZQ"
"486";"25";"Daruula";"Gaming";168000;6;566000;2020-10-25;"http://www.youtube.com/channel/UCD_ieVF47IL72S2VqysIJxQ"
"487";"25";"IVAN ARK MOBILE";"Entertainment";168000;41;320000;2021-05-11;"http://www.youtube.com/channel/UCEPGRUzllptYSM9khcj4rAg"
